project	sample	alias	accession	center	platform	instrument	library	layout	description	fastq_se_md5	fastq_se_ftp	fastq_r1_md5	fastq_r2_md5	fastq_r1_ftp	fastq_r2_ftp	fastq_se	fastq_r1	fastq_r2
PRJNA46161	NB1	Southern African Bushman	SRR033671	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	f040c0d15f00c846d9c9173421184c31	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033671/SRR033671.fastq.gz					data/source/PRJNA46161/fastq/SRR033671_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033672	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	c43de1022326d3628abc95775df5cd5a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033672/SRR033672.fastq.gz					data/source/PRJNA46161/fastq/SRR033672_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033673	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	c4c177070c8b3ce6cd269b87c43858fd	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033673/SRR033673.fastq.gz					data/source/PRJNA46161/fastq/SRR033673_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033674	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	ce17f6d2090132b46c37b4027439d560	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033674/SRR033674.fastq.gz					data/source/PRJNA46161/fastq/SRR033674_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033675	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	7dd705509067c5f4e33b3942d9423de2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033675/SRR033675.fastq.gz					data/source/PRJNA46161/fastq/SRR033675_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033676	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	37c091bc6956548cc6c8d3fd47438697	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033676/SRR033676.fastq.gz					data/source/PRJNA46161/fastq/SRR033676_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033677	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	f7e5f31472cf4f5ddf8f1523c15d61fb	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033677/SRR033677.fastq.gz					data/source/PRJNA46161/fastq/SRR033677_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033678	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	c2b902cefd2d35d7db28da81f2f2aab1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033678/SRR033678.fastq.gz					data/source/PRJNA46161/fastq/SRR033678_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033679	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	92f09c6a1af580e99e29098ef16852a9	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033679/SRR033679.fastq.gz					data/source/PRJNA46161/fastq/SRR033679_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033680	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	7813de3247d9c19beaeadd820e956b3d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033680/SRR033680.fastq.gz					data/source/PRJNA46161/fastq/SRR033680_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033681	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	29c551703e715709a36176e5530e86ee	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033681/SRR033681.fastq.gz					data/source/PRJNA46161/fastq/SRR033681_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033682	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	49a56695b963d3bffa87187b35803caa	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033682/SRR033682.fastq.gz					data/source/PRJNA46161/fastq/SRR033682_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033683	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	efcaf3601edcdb9cb40ce4ff4c173031	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033683/SRR033683.fastq.gz					data/source/PRJNA46161/fastq/SRR033683_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033684	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	66cf0a280883f9aef1af22d69abb9aff	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033684/SRR033684.fastq.gz					data/source/PRJNA46161/fastq/SRR033684_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033685	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	faeaaa13dda9bc8463b4636826e70f8c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033685/SRR033685.fastq.gz					data/source/PRJNA46161/fastq/SRR033685_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033686	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	6b9dc8e09478bacf858203ff2171c031	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033686/SRR033686.fastq.gz					data/source/PRJNA46161/fastq/SRR033686_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033687	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	d2d823e047ecc4a52ce1f893d019e318	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033687/SRR033687.fastq.gz					data/source/PRJNA46161/fastq/SRR033687_se.fastq.gz		
PRJNA46161	NB1	Southern African Bushman	SRR033688	CCGB	LS454	454 GS FLX Titanium	NB1_genome_454	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	85b8b348af23a6b3b84acae8412184c1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033688/SRR033688.fastq.gz					data/source/PRJNA46161/fastq/SRR033688_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033742	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	0723d0a491c66695e4cb99d5536e1355	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033742/SRR033742.fastq.gz					data/source/PRJNA46161/fastq/SRR033742_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033743	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	8c012817073dc0fb50fe55d97df0991a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033743/SRR033743.fastq.gz					data/source/PRJNA46161/fastq/SRR033743_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033744	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	6d3311231e1781e24d3bf94d09835d46	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033744/SRR033744.fastq.gz					data/source/PRJNA46161/fastq/SRR033744_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033745	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	88df45ef129ed4dbdf1e60ed60a28f5d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033745/SRR033745.fastq.gz					data/source/PRJNA46161/fastq/SRR033745_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033746	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	048f1fe7dbeee29ff904cac15f282b82	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033746/SRR033746.fastq.gz					data/source/PRJNA46161/fastq/SRR033746_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033751	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	38e1f5842694611dee95f0bad32f7f69	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033751/SRR033751.fastq.gz					data/source/PRJNA46161/fastq/SRR033751_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033752	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	6918db506e02c8c8bce70d5ef54156fe	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033752/SRR033752.fastq.gz					data/source/PRJNA46161/fastq/SRR033752_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033753	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	56411150e92e198e827e96541f8d9772	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033753/SRR033753.fastq.gz					data/source/PRJNA46161/fastq/SRR033753_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033754	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	593d1416f8a15d41b64c246930d5c01b	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033754/SRR033754.fastq.gz					data/source/PRJNA46161/fastq/SRR033754_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033755	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	050ef0d0cf89ed50631da945d25d4edc	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033755/SRR033755.fastq.gz					data/source/PRJNA46161/fastq/SRR033755_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033756	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	846dc599efc7ca210acdeadebe8aebc6	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033756/SRR033756.fastq.gz					data/source/PRJNA46161/fastq/SRR033756_se.fastq.gz		
PRJNA46161	KB1	Southern African Bushman	SRR033757	CCGB	LS454	454 GS FLX Titanium	KB1_genome_454_single	SINGLE	Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens)	e985ea8954c7f382b9ac5eb4879f95ab	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR033/SRR033757/SRR033757.fastq.gz					data/source/PRJNA46161/fastq/SRR033757_se.fastq.gz		
